id;default;legal_form;zip_code;sector;year_inc;count_emp;type_pl;sales;gross_performance;gross_profit;earn_from_op;fin_result;oth_interest_inc;oth_interest_exp;result_from_ord_bus;total_result;annual_profit;total_assets;total_liabilities_st;total_liabilities_mt;total_liabilities_lt;bank_liabilities_st;bank_liabilities_mt;bank_liabilities_lt;trade_payables_st;trade_payables_mt;trade_payables_lt;bonds_payables_st;bonds_payables_mt;bonds_payables_lt;total_equity;current_assets;monetary_current_assets;cash;trade_receivables_st;trade_receivables_lt;cf_operating;cf_investment;cf_financing
C_769;0;GmbH;10117;35000;1990;236.0;GKV;13575513.38;13575513.38;2633704.96;199232.7;-129205.33;6189.07;135394.4;70027.37;70027.37;38600.22;4470823.74;3971639.65;85803.67;139331.47;360903.07;63068.56;9987.47;2924447.56;;;;;;274048.95;3991598.95;943232.79;279451.92;525279.07;;161068.64;-23070.8;-297632.23
C_806;0;GmbH;10178;68310;1992;;GKV;1791264.61;2197261.12;860141.41;98576.04;-2739.06;1218.15;3957.21;95836.98;95836.98;82193.01;1361084.95;721786.97;0.0;0.0;;;;;;;;;;;1015406.54;260802.45;127321.11;;;-6712.19;-5808.18;94148.87
C_584;0;GmbH;10715;33120;1996;;GKV;4089724.13;3902780.77;1536337.61;164843.32;2680.91;2742.21;61.3;167524.23;167524.23;60410.08;1452046.68;462628.09;0.0;0.0;;;;109812.0;;;;;;989418.59;1437312.36;956008.34;507682.47;;;-37091.09;-8063.28;-3013.0
C_804;0;GmbH;10179;55101;1997;;GKV;531151.9;526151.9;456960.21;6590.94;-680.0;;680.0;5910.94;5910.94;5545.41;58903.15;39422.32;14771.45;0.0;;;;4700.79;;;;;;4709.38;52633.65;53472.53;12862.26;;;18144.12;-621.25;844.25
C_542;0;GmbH;14476;49392;1990;4.0;GKV;22003511.17;21998732.13;20805079.14;9995835.55;-119002.19;;119002.19;9876833.36;9876833.36;-8.94e-10;40901218.5;11986742.38;0.0;0.0;;;;870839.83;;;;;;28914476.12;35134870.51;34268580.63;4285.53;7464.97;;11143626.87;-1380893.84;-9761123.1
C_497;0;AG;12099;70220;1998;;GKV;1889565.55;1799565.55;910674.29;85821.61;-6559.0;69.39;6628.39;79262.61;79262.61;74930.61;704056.94;633072.19;67984.75;0.0;62972.46;;;35224.38;;;;;;3000.0;654867.37;95754.54;35012.32;;;75418.39;-64817.96;-72834.79
C_270;0;OHG;10589;51100;1998;;GKV;1988544.06;1978291.65;1985990.3;253236.39;-64698.41;767.34;65465.75;188537.98;188537.98;147356.1;1066669.71;501271.44;565398.27;0.0;308428.53;;;55021.94;;;;;;0.0;194867.8;131580.32;530.72;;;219588.97;-26835.97;-213160.19
C_501;0;GmbH;14109;82900;1999;270.0;GKV;54128315.45;54477401.21;36707243.16;3430720.97;-524702.21;75560.28;600262.49;2906018.76;2733836.76;1719425.97;24868241.33;12570297.61;0.0;7341773.0;;;;2536738.14;;;;;;4956170.72;21121343.53;14266825.85;1792740.84;5882730.91;;5096774.93;-2473949.23;-2500000.0
C_657;0;GmbH;12489;85320;2003;57.0;GKV;456588.54;456588.54;238536.54;22198.16;-3787.6;;3787.6;18410.56;18410.56;15493.16;164892.34;133305.45;0.0;0.0;58041.54;;;1486.6;;;;;;28731.49;98955.94;71782.16;47422.64;;;15913.7;14765.0;3.96e-11
C_823;0;GmbH;13591;25110;2005;114.0;GKV;27893721.39;27893721.39;4991667.03;1383052.91;-16118.68;28692.22;244810.9;1366934.23;1366934.23;1042338.94;10181164.73;2799105.85;2864000.0;1030172.73;1440640.89;2500000.0;1000000.0;480787.38;;;;;;3487886.15;7189357.38;3564477.93;1652326.15;1466734.66;;1957058.64;-844105.47;1287335.03
C_547;0;GmbH;10789;68102;2007;;GKV;389060052.2;390929446.3;302731931.8;96338222.51;-36977242.22;1294460.38;21054394.94;59360980.29;67231120.18;44680494.46;986738267.2;166083655.9;281670379.1;310622574.0;37461000.0;251339000.0;305396962.0;9320497.96;;;;;;152057501.6;86540904.02;86169611.33;8412973.44;17915852.91;;80367789.25;-52595702.09;55119344.15
C_788;0;GmbH;12627;43999;2009;;GKV;13861357.61;13861357.61;14692155.93;-2750057.85;-372820.49;3417.5;376237.99;-3122878.34;-3122878.34;-3080212.76;18189775.27;6782008.69;8800000.0;10381.0;;;;109826.41;;;;;;2597385.58;7312000.43;125928.18;533.59;;;-2388595.61;-214315.27;2602474.03
C_883;0;GmbH;13407;23610;2010;;GKV;28879530.7;28879530.7;15919800.92;3392624.71;-325.95;24.05;350.0;3392298.76;3392298.76;4.02e-09;8782666.04;6907863.1;0.0;0.0;;;;1140937.25;;;;;;1874802.94;8296405.23;6778541.02;275859.84;2872702.63;;2594604.88;-102911.94;-2320376.19
C_760;0;GmbH & Co. KG;38226;35230;1940;204.0;GKV;10504114.94;10504114.94;756766.61;299402.98;-425.5;5.0;430.5;298977.48;298977.48;205003.62;1149264.69;320142.21;0.0;0.0;;;;179158.91;;;;;;829122.48;1107288.55;555540.4;86510.13;;;-34831.37;-17102.12;8.15e-10
C_592;0;GmbH;9356;13920;1994;;GKV;64029135.39;64029135.39;34239122.96;1681117.3;-342334.24;;2596808.81;1338783.06;1338783.06;6.26e-09;53900570.68;30575310.68;0.0;23300260.0;;;;14533.96;;;;;;25000.0;42204581.18;4905363.9;;;;20630130.17;-3130931.5;-17499198.67
C_381;0;Sonst. Gewerbetreibende;38228;77120;1998;;GKV;3214467.37;3214467.37;2933679.21;-19252.15;-40938.39;9253.59;51453.73;-60190.54;-60190.54;-69717.57;1764028.26;293920.95;1006000.0;324259.0;;;;127108.42;;;;;;139848.31;439341.57;222170.18;189139.82;;;163911.75;-97592.57;-65673.03
C_176;0;GmbH;38350;55101;1997;;GKV;81499082.84;81499082.84;39098015.09;1941984.41;-74101.78;18069.31;93249.83;1867882.63;1867882.63;1256098.4;37267498.04;17482704.69;0.0;0.0;;;;854201.67;;;;;;19784793.35;34600844.82;15479763.44;13222233.53;1394085.33;;2490031.68;292286.98;-5295000.0
C_784;0;GmbH;28359;56000;1899;16.0;GKV;519403.42;557738.63;566965.47;319222.68;392.92;392.92;;319615.6;319615.6;277592.6;348951.72;82060.35;0.0;0.0;;;;6945.19;;;;;;266891.37;314512.95;232203.83;107836.33;;;165550.07;-9932.21;-200437.63
C_835;0;GmbH & Co. KG;27389;93210;1993;;GKV;64833495.38;64399996.94;31072276.13;1948257.64;-82463.41;2909.59;85373.0;1865794.23;1867630.53;1218425.86;29772107.97;23593067.46;0.0;837682.0;;;;3003281.43;;;;;;5341358.51;29115468.62;16053041.87;1360084.84;11860884.27;344000.0;297508.73;-718115.36;-5.12e-09
C_302;0;GmbH;28217;68100;2000;17.0;GKV;8412807.66;8412807.66;5003383.57;174622.97;-87110.1;437.63;89047.73;87512.87;87512.87;22530.37;3617782.06;1554208.97;1627652.02;179418.1;865124.37;;;349393.19;;;;;;256502.97;1131032.46;1138457.43;115136.38;853887.31;;1187942.46;-1041740.36;114030.47
C_336;0;GmbH;29227;28120;1981;30.0;GKV;23021205.4;23021205.4;4888592.77;-1727783.48;-30534.14;;30534.14;-1758317.62;-1758317.62;-1758317.62;8339103.47;8339103.47;0.0;0.0;;;;74270.88;;;;;;0.0;5451412.89;3378903.61;26395.89;3088357.84;;-771177.33;-5562.63;493000.85
C_122;0;GmbH;38518;86101;1985;718.0;GKV;3796304.74;3796304.74;2268527.34;-85633.26;-27142.89;1123.5;28273.89;-112776.15;-112776.15;-117099.99;2233776.89;973721.25;0.0;0.0;367630.28;;;40521.6;;;;;;1260055.64;1839440.8;261091.65;69643.49;176000.04;;-451919.39;-39452.83;141002.34
C_682;0;GmbH & Co. KG;29223;43911;1955;;GKV;1698254.82;1764345.3;1072192.16;67065.6;-24891.58;1380.34;26581.92;42174.02;42174.02;40157.72;458346.03;444859.81;11123.01;0.0;124846.01;11123.01;;82606.04;;;;;;2363.21;447465.03;222887.78;20041.48;;;61034.39;65461.52;-27474.44
C_478;1;Sonst. Gewerbetreibende;29223;43341;1991;;GKV;22439706.37;22439706.37;12359342.06;448794.13;54684.42;155607.94;100923.52;503478.55;503478.55;375377.71;22784592.26;22332627.26;0.0;451965.0;;;;70841.68;;;;;;5.59e-09;2596739.6;918964.92;846466.17;9849.75;;51183.12;-132934.76;-284744.81
C_092;0;GmbH;25813;47420;1999;4.0;GKV;183711.98;183711.98;175931.29;44994.92;-694.93;12.09;707.02;44299.99;44299.99;26414.29;89021.41;15514.57;12035.57;0.0;;;;1576.79;;;;;;61471.27;71015.25;26147.64;15964.26;;;-5497.77;47146.69;-22400.0
C_322;0;GmbH;25813;47430;2001;5.0;GKV;15056346.47;15056346.47;1494352.36;278393.87;-104888.99;255.56;105144.55;173504.88;174692.58;117448.85;5058250.8;4703198.42;87472.21;0.0;1920004.82;;;1632748.03;;;;;;572289.52;5030968.08;3964974.09;293973.51;3547038.06;;-961895.18;-7095.42;-1.22e-09
C_701;1;GmbH & Co. KG;37191;64200;1925;156.0;GKV;6177489.72;6177489.72;473523.49;77997.86;-10028.2;1413.82;11442.02;67969.66;67969.66;42227.95;1530025.04;1224070.71;140474.76;0.0;62695.98;;;922208.86;;;;;;165479.57;1352836.84;1286198.7;155598.92;;;83406.79;-130972.84;63996.19
C_044;0;Genossenschaft;34346;68201;1898;14.0;GKV;1396687.31;1396687.31;540463.93;-5601380.98;64585985.69;1133915.54;22579929.85;58984604.71;58984604.71;49804705.58;1290147937.0;62729609.55;119822222.2;580721138.9;27759533.98;119822222.2;428788888.9;121010.42;;;;;;526874966.8;187252869.6;177090158.1;30025929.23;;;144129783.4;-547416691.5;391545677.6
C_421;0;GmbH;21614;26511;1956;143.0;GKV;2767106.53;2767106.53;507539.74;40696.75;-8658.19;299.02;8957.21;32038.56;32038.56;21262.27;561147.15;235966.85;213510.65;0.0;66212.63;;;104606.85;;;;;;111669.65;417019.07;160746.5;26493.82;;;32251.31;-58237.12;35945.45
C_996;0;GmbH;20259;85592;1990;439.0;GKV;4232139.52;5675976.17;2186397.13;144753.17;37641.36;2116.68;39540.1;182394.53;182394.53;126514.66;1404909.55;772773.04;0.0;0.0;;;;;;;;;;632136.51;1049631.38;882537.11;441888.39;191759.82;;680151.74;-183525.31;97792.12
